التقرير,جرد الماكينات
تاريخ الإصدار,2026-09-08T14:45:39.780Z
عوامل التصفية,—

الرقم التسلسلي,الموديل,الحالة,الفرع,نوع الحائز,الحائز,نهاية الضمان,سعر الشراء,تكلفة الإصلاح,عدد الإصلاحات
SN-N_024411_9496_10,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,,0,0,0
SN-N_109917_8083_5,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_186846_0575_21,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_199072_1532_11,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_221568_8998_2,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_277868_8579_3,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_295077_2622_7,إنجينيكو موف 5000,IN_BRANCH_WAREHOUSE,فرع الإشعارات,SUPERVISOR,مشرف الإشعارات,,0,0,0
SN-N_362329_4495_13,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_439258_2381_20,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_469799_4823_8,إنجينيكو موف 5000,WITH_REPRESENTATIVE,فرع الإشعارات,REPRESENTATIVE,مندوب الإشعارات,,0,0,0
SN-N_475647_2090_18,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_479002_0268_16,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_564961_5745_12,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_613395_8508_9,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,,0,500,1
SN-N_614517_5633_15,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_668474_9169_6,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_743187_1870_1,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_765063_9317_19,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_809519_4368_4,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_902552_8644_14,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_906537_1559_17,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-R_254303_5717_3,إنجينيكو موف 5000,IN_BRANCH_WAREHOUSE,فرع التقارير الآخر,SUPERVISOR,مشرف الفرع الآخر,2026-09-27,4200,0,0
SN-R_506621_2468_2,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,2026-09-27,4200,0,0
SN-R_833883_2383_4,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,2026-09-27,4200,0,0
SN-R_850216_7103_1,إنجينيكو موف 5000,WITH_REPRESENTATIVE,فرع التقارير,REPRESENTATIVE,مندوب التقارير,2026-09-27,4200,0,0
