التقرير,سجل التسليمات
تاريخ الإصدار,2026-09-10T08:43:06.853Z
عوامل التصفية,"from=2026-06-12, to=2026-09-10"

رقم الإذن,التاريخ,النوع,الاتجاه,الحالة,الفرع,من,إلى,عدد الماكينات,أنشأه,تاريخ التأكيد
TRF-2026-000105,2026-09-10,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التقارير الآخر,— (WAREHOUSE),مشرف الفرع الآخر (SUPERVISOR),1,مدير النظام,2026-09-10
TRF-2026-000104,2026-09-10,COMPANY_TO_BRANCH,OUT,PENDING,فرع التقارير,— (WAREHOUSE),مشرف التقارير (SUPERVISOR),1,مدير النظام,
TRF-2026-000103,2026-09-10,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع التقارير,مشرف التقارير (SUPERVISOR),مندوب التقارير (REPRESENTATIVE),1,مشرف التقارير,2026-09-10
TRF-2026-000102,2026-09-10,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التقارير,— (WAREHOUSE),مشرف التقارير (SUPERVISOR),1,مدير النظام,2026-09-10
TRF-2026-000101,2026-09-10,BRANCH_TO_COMPANY,RETURN,CONFIRMED,فرع الصيانة,مشرف الصيانة (SUPERVISOR),مخزن الشركة الرئيسي (WAREHOUSE),1,مشرف الصيانة,2026-09-10
TRF-2026-000100,2026-09-10,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع الصيانة,— (WAREHOUSE),مشرف الصيانة (SUPERVISOR),1,مدير النظام,2026-09-10
TRF-2026-000048,2026-09-10,COMPANY_TO_BRANCH,OUT,PENDING,فرع الصيانة,— (WAREHOUSE),مشرف الصيانة (SUPERVISOR),1,مدير النظام,
TRF-2026-000038,2026-09-10,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,2026-09-10
TRF-2026-000037,2026-09-10,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,2026-09-10
TRF-2026-000036,2026-09-10,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,2026-09-10
TRF-2026-000035,2026-09-10,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,2026-09-10
TRF-2026-000034,2026-09-10,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,2026-09-10
TRF-2026-000033,2026-09-10,BRANCH_TO_REPRESENTATIVE,OUT,PENDING,فرع التسليمات,مشرف التسليمات (SUPERVISOR),مندوب التسليمات (REPRESENTATIVE),1,مشرف التسليمات,
TRF-2026-000032,2026-09-10,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,2026-09-10
TRF-2026-000031,2026-09-10,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,2026-09-10
TRF-2026-000030,2026-09-10,COMPANY_TO_BRANCH,OUT,PENDING,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,
TRF-2026-000029,2026-09-10,COMPANY_TO_BRANCH,OUT,PENDING,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,
TRF-2026-000028,2026-09-10,COMPANY_TO_BRANCH,OUT,PENDING,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,
TRF-2026-000027,2026-09-10,COMPANY_TO_BRANCH,OUT,CANCELLED,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,
TRF-2026-000026,2026-09-10,COMPANY_TO_BRANCH,OUT,PENDING,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,
