التقرير,سجل التسليمات
تاريخ الإصدار,2026-09-08T21:20:00.404Z
عوامل التصفية,"from=2026-06-10, to=2026-09-08"

رقم الإذن,التاريخ,النوع,الاتجاه,الحالة,الفرع,من,إلى,عدد الماكينات,أنشأه,تاريخ التأكيد
TRF-2026-000169,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التقارير الآخر,— (WAREHOUSE),مشرف الفرع الآخر (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000168,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع التقارير,— (WAREHOUSE),مشرف التقارير (SUPERVISOR),1,مدير النظام,
TRF-2026-000167,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع التقارير,مشرف التقارير (SUPERVISOR),مندوب التقارير (REPRESENTATIVE),1,مشرف التقارير,2026-09-08
TRF-2026-000166,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التقارير,— (WAREHOUSE),مشرف التقارير (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000165,2026-09-08,REPRESENTATIVE_TO_BRANCH,RETURN,CONFIRMED,فرع المخالفات,مندوب المخالفات (REPRESENTATIVE),مشرف المخالفات (SUPERVISOR),1,مندوب المخالفات,2026-09-08
TRF-2026-000164,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع المخالفات,مشرف المخالفات (SUPERVISOR),مندوب المخالفات (REPRESENTATIVE),1,مشرف المخالفات,2026-09-08
TRF-2026-000163,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع المخالفات,— (WAREHOUSE),مشرف المخالفات (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000162,2026-09-08,REPRESENTATIVE_TO_BRANCH,RETURN,CONFIRMED,فرع المخالفات,مندوب المخالفات (REPRESENTATIVE),مشرف المخالفات (SUPERVISOR),1,مندوب المخالفات,2026-09-08
TRF-2026-000161,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع المخالفات,مشرف المخالفات (SUPERVISOR),مندوب المخالفات (REPRESENTATIVE),1,مشرف المخالفات,2026-09-08
TRF-2026-000160,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع المخالفات,— (WAREHOUSE),مشرف المخالفات (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000159,2026-09-08,REPRESENTATIVE_TO_BRANCH,RETURN,CONFIRMED,فرع المخالفات,مندوب المخالفات (REPRESENTATIVE),مشرف المخالفات (SUPERVISOR),1,مندوب المخالفات,2026-09-08
TRF-2026-000158,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع المخالفات,مشرف المخالفات (SUPERVISOR),مندوب المخالفات (REPRESENTATIVE),1,مشرف المخالفات,2026-09-08
TRF-2026-000157,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع المخالفات,— (WAREHOUSE),مشرف المخالفات (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000156,2026-09-08,REPRESENTATIVE_TO_BRANCH,RETURN,CONFIRMED,فرع المخالفات,مندوب المخالفات (REPRESENTATIVE),مشرف المخالفات (SUPERVISOR),1,مندوب المخالفات,2026-09-08
TRF-2026-000155,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع المخالفات,مشرف المخالفات (SUPERVISOR),مندوب المخالفات (REPRESENTATIVE),1,مشرف المخالفات,2026-09-08
TRF-2026-000154,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع المخالفات,— (WAREHOUSE),مشرف المخالفات (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000153,2026-09-08,REPRESENTATIVE_TO_BRANCH,RETURN,CONFIRMED,فرع المخالفات,مندوب المخالفات (REPRESENTATIVE),مشرف المخالفات (SUPERVISOR),1,مندوب المخالفات,2026-09-08
TRF-2026-000152,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع المخالفات,مشرف المخالفات (SUPERVISOR),مندوب المخالفات (REPRESENTATIVE),1,مشرف المخالفات,2026-09-08
TRF-2026-000151,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع المخالفات,— (WAREHOUSE),مشرف المخالفات (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000150,2026-09-08,REPRESENTATIVE_TO_BRANCH,RETURN,CONFIRMED,فرع المخالفات,مندوب المخالفات (REPRESENTATIVE),مشرف المخالفات (SUPERVISOR),1,مندوب المخالفات,2026-09-08
TRF-2026-000149,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع المخالفات,مشرف المخالفات (SUPERVISOR),مندوب المخالفات (REPRESENTATIVE),1,مشرف المخالفات,2026-09-08
TRF-2026-000148,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع المخالفات,— (WAREHOUSE),مشرف المخالفات (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000147,2026-09-08,REPRESENTATIVE_TO_BRANCH,RETURN,CONFIRMED,فرع المخالفات,مندوب المخالفات (REPRESENTATIVE),مشرف المخالفات (SUPERVISOR),1,مندوب المخالفات,2026-09-08
TRF-2026-000146,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع المخالفات,مشرف المخالفات (SUPERVISOR),مندوب المخالفات (REPRESENTATIVE),1,مشرف المخالفات,2026-09-08
TRF-2026-000145,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع المخالفات,— (WAREHOUSE),مشرف المخالفات (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000144,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع المخالفات,مشرف المخالفات (SUPERVISOR),مندوب المخالفات (REPRESENTATIVE),1,مشرف المخالفات,2026-09-08
TRF-2026-000143,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع المخالفات,— (WAREHOUSE),مشرف المخالفات (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000142,2026-09-08,MERCHANT_TO_REPRESENTATIVE,RETURN,CONFIRMED,فرع المخالفات,محل تاجر المخالفات (MERCHANT),مندوب المخالفات (REPRESENTATIVE),1,مندوب المخالفات,2026-09-08
TRF-2026-000141,2026-09-08,REPRESENTATIVE_TO_MERCHANT,OUT,CONFIRMED,فرع المخالفات,مندوب المخالفات (REPRESENTATIVE),محل تاجر المخالفات (MERCHANT),1,مندوب المخالفات,2026-09-08
TRF-2026-000140,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع المخالفات,مشرف المخالفات (SUPERVISOR),مندوب المخالفات (REPRESENTATIVE),1,مشرف المخالفات,2026-09-08
TRF-2026-000139,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع المخالفات,— (WAREHOUSE),مشرف المخالفات (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000138,2026-09-08,REPRESENTATIVE_TO_BRANCH,RETURN,CONFIRMED,فرع المخالفات,مندوب المخالفات (REPRESENTATIVE),مشرف المخالفات (SUPERVISOR),1,مندوب المخالفات,2026-09-08
TRF-2026-000137,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع المخالفات,مشرف المخالفات (SUPERVISOR),مندوب المخالفات (REPRESENTATIVE),1,مشرف المخالفات,2026-09-08
TRF-2026-000136,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع المخالفات,— (WAREHOUSE),مشرف المخالفات (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000135,2026-09-08,REPRESENTATIVE_TO_BRANCH,RETURN,CONFIRMED,فرع المخالفات,مندوب المخالفات (REPRESENTATIVE),مشرف المخالفات (SUPERVISOR),1,مندوب المخالفات,2026-09-08
TRF-2026-000134,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع المخالفات,مشرف المخالفات (SUPERVISOR),مندوب المخالفات (REPRESENTATIVE),1,مشرف المخالفات,2026-09-08
TRF-2026-000133,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع المخالفات,— (WAREHOUSE),مشرف المخالفات (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000132,2026-09-08,REPRESENTATIVE_TO_BRANCH,RETURN,CONFIRMED,فرع المخالفات,مندوب المخالفات (REPRESENTATIVE),مشرف المخالفات (SUPERVISOR),1,مندوب المخالفات,2026-09-08
TRF-2026-000131,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع المخالفات,مشرف المخالفات (SUPERVISOR),مندوب المخالفات (REPRESENTATIVE),1,مشرف المخالفات,2026-09-08
TRF-2026-000130,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع المخالفات,— (WAREHOUSE),مشرف المخالفات (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000129,2026-09-08,REPRESENTATIVE_TO_BRANCH,RETURN,CONFIRMED,فرع المخالفات,مندوب المخالفات (REPRESENTATIVE),مشرف المخالفات (SUPERVISOR),1,مندوب المخالفات,2026-09-08
TRF-2026-000128,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع المخالفات,مشرف المخالفات (SUPERVISOR),مندوب المخالفات (REPRESENTATIVE),1,مشرف المخالفات,2026-09-08
TRF-2026-000127,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع المخالفات,— (WAREHOUSE),مشرف المخالفات (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000126,2026-09-08,REPRESENTATIVE_TO_BRANCH,RETURN,CONFIRMED,فرع المخالفات,مندوب المخالفات (REPRESENTATIVE),مشرف المخالفات (SUPERVISOR),1,مندوب المخالفات,2026-09-08
