التقرير,جرد الماكينات
تاريخ الإصدار,2026-09-08T14:44:17.789Z
عوامل التصفية,—

الرقم التسلسلي,الموديل,الحالة,الفرع,نوع الحائز,الحائز,نهاية الضمان,سعر الشراء,تكلفة الإصلاح,عدد الإصلاحات
SN-N_001288_7424_7,إنجينيكو موف 5000,IN_BRANCH_WAREHOUSE,فرع الإشعارات,SUPERVISOR,مشرف الإشعارات,,0,0,0
SN-N_026803_0365_14,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_075253_2998_13,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_093973_9794_5,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_106602_8003_17,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_304342_0532_19,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_325712_1463_12,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_346589_6355_4,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_355908_2745_16,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_367816_4131_3,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_511180_4686_9,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,,0,500,1
SN-N_600787_9982_1,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_631108_4439_8,إنجينيكو موف 5000,WITH_REPRESENTATIVE,فرع الإشعارات,REPRESENTATIVE,مندوب الإشعارات,,0,0,0
SN-N_632689_9783_6,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_689646_4635_15,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_779930_2773_11,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_822532_5025_2,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_887422_7787_21,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_900375_8106_18,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_977982_1293_10,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,,0,0,0
SN-N_986345_2217_20,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-R_062451_6824_2,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,2026-09-27,4200,0,0
SN-R_568415_1478_4,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,2026-09-27,4200,0,0
SN-R_717358_4192_1,إنجينيكو موف 5000,WITH_REPRESENTATIVE,فرع التقارير,REPRESENTATIVE,مندوب التقارير,2026-09-27,4200,0,0
SN-R_735226_2936_3,إنجينيكو موف 5000,IN_BRANCH_WAREHOUSE,فرع التقارير الآخر,SUPERVISOR,مشرف الفرع الآخر,2026-09-27,4200,0,0
