التقرير,سجل التسليمات
تاريخ الإصدار,2026-09-08T14:35:07.219Z
عوامل التصفية,"from=2026-06-10, to=2026-09-08"

رقم الإذن,التاريخ,النوع,الاتجاه,الحالة,الفرع,من,إلى,عدد الماكينات,أنشأه,تاريخ التأكيد
TRF-2026-000027,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التقارير الآخر,— (WAREHOUSE),مشرف الفرع الآخر (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000026,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع التقارير,— (WAREHOUSE),مشرف التقارير (SUPERVISOR),1,مدير النظام,
TRF-2026-000025,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع التقارير,مشرف التقارير (SUPERVISOR),مندوب التقارير (REPRESENTATIVE),1,مشرف التقارير,2026-09-08
TRF-2026-000024,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التقارير,— (WAREHOUSE),مشرف التقارير (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000023,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع الإشعارات,— (WAREHOUSE),مشرف الإشعارات (SUPERVISOR),1,مدير النظام,
TRF-2026-000022,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع الإشعارات,— (WAREHOUSE),مشرف الإشعارات (SUPERVISOR),1,مدير النظام,
TRF-2026-000021,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع الإشعارات,— (WAREHOUSE),مشرف الإشعارات (SUPERVISOR),1,مدير النظام,
TRF-2026-000020,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع الإشعارات,— (WAREHOUSE),مشرف الإشعارات (SUPERVISOR),1,مدير النظام,
TRF-2026-000019,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع الإشعارات,— (WAREHOUSE),مشرف الإشعارات (SUPERVISOR),1,مدير النظام,
TRF-2026-000018,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع الإشعارات,— (WAREHOUSE),مشرف الإشعارات (SUPERVISOR),1,مدير النظام,
TRF-2026-000017,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع الإشعارات,— (WAREHOUSE),مشرف الإشعارات (SUPERVISOR),1,مدير النظام,
TRF-2026-000016,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع الإشعارات,— (WAREHOUSE),مشرف الإشعارات (SUPERVISOR),1,مدير النظام,
TRF-2026-000015,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع الإشعارات,— (WAREHOUSE),مشرف الإشعارات (SUPERVISOR),1,مدير النظام,
TRF-2026-000014,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع الإشعارات,— (WAREHOUSE),مشرف الإشعارات (SUPERVISOR),1,مدير النظام,
TRF-2026-000013,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع الإشعارات,— (WAREHOUSE),مشرف الإشعارات (SUPERVISOR),1,مدير النظام,
TRF-2026-000012,2026-09-08,MAINTENANCE_TO_COMPANY,RETURN,CONFIRMED,—,— (WAREHOUSE),مخزن الشركة الرئيسي (WAREHOUSE),1,مدير النظام,2026-09-08
TRF-2026-000011,2026-09-08,COMPANY_TO_MAINTENANCE,OUT,CONFIRMED,—,— (WAREHOUSE),ورشة الإشعارات (WAREHOUSE),1,مدير النظام,2026-09-08
TRF-2026-000010,2026-09-08,REPRESENTATIVE_TO_BRANCH,RETURN,REJECTED,فرع الإشعارات,مندوب الإشعارات (REPRESENTATIVE),مشرف الإشعارات (SUPERVISOR),1,مندوب الإشعارات,
TRF-2026-000009,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع الإشعارات,مشرف الإشعارات (SUPERVISOR),مندوب الإشعارات (REPRESENTATIVE),1,مشرف الإشعارات,2026-09-08
TRF-2026-000008,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع الإشعارات,— (WAREHOUSE),مشرف الإشعارات (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000007,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع الإشعارات,— (WAREHOUSE),مشرف الإشعارات (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000006,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع الإشعارات,— (WAREHOUSE),مشرف الإشعارات (SUPERVISOR),1,مدير النظام,
TRF-2026-000005,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع الإشعارات,— (WAREHOUSE),مشرف الإشعارات (SUPERVISOR),1,مدير النظام,
TRF-2026-000004,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع الإشعارات,— (WAREHOUSE),مشرف الإشعارات (SUPERVISOR),1,مدير النظام,
TRF-2026-000003,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع الإشعارات,— (WAREHOUSE),مشرف الإشعارات (SUPERVISOR),1,مدير النظام,
TRF-2026-000002,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع الإشعارات,— (WAREHOUSE),مشرف الإشعارات (SUPERVISOR),1,مدير النظام,
TRF-2026-000001,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع الإشعارات,— (WAREHOUSE),مشرف الإشعارات (SUPERVISOR),1,مدير النظام,
