التقرير,سجل التسليمات
تاريخ الإصدار,2026-09-08T14:35:58.734Z
عوامل التصفية,"from=2026-06-10, to=2026-09-08"

رقم الإذن,التاريخ,النوع,الاتجاه,الحالة,الفرع,من,إلى,عدد الماكينات,أنشأه,تاريخ التأكيد
TRF-2026-000216,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع المزامنة,— (WAREHOUSE),مشرف المزامنة (SUPERVISOR),1,مدير النظام,
TRF-2026-000237,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التقارير الآخر,— (WAREHOUSE),مشرف الفرع الآخر (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000236,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع التقارير,— (WAREHOUSE),مشرف التقارير (SUPERVISOR),1,مدير النظام,
TRF-2026-000235,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع التقارير,مشرف التقارير (SUPERVISOR),مندوب التقارير (REPRESENTATIVE),1,مشرف التقارير,2026-09-08
TRF-2026-000234,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التقارير,— (WAREHOUSE),مشرف التقارير (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000233,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع المزامنة,مشرف المزامنة (SUPERVISOR),مندوب المزامنة (REPRESENTATIVE),1,مشرف المزامنة,2026-09-08
TRF-2026-000232,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع المزامنة,— (WAREHOUSE),مشرف المزامنة (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000230,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع المزامنة,مشرف المزامنة (SUPERVISOR),مندوب المزامنة (REPRESENTATIVE),1,مشرف المزامنة,2026-09-08
TRF-2026-000229,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع المزامنة,— (WAREHOUSE),مشرف المزامنة (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000228,2026-09-08,REPRESENTATIVE_TO_MERCHANT,OUT,CONFIRMED,فرع المزامنة,مندوب المزامنة (REPRESENTATIVE),محل تاجر الصور (MERCHANT),1,مندوب المزامنة,2026-09-08
TRF-2026-000227,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع المزامنة,مشرف المزامنة (SUPERVISOR),مندوب المزامنة (REPRESENTATIVE),1,مشرف المزامنة,2026-09-08
TRF-2026-000226,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع المزامنة,— (WAREHOUSE),مشرف المزامنة (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000225,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع المزامنة,— (WAREHOUSE),مشرف المزامنة (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000224,2026-09-08,COMPANY_TO_BRANCH,OUT,CANCELLED,فرع المزامنة,— (WAREHOUSE),مشرف المزامنة (SUPERVISOR),1,مدير النظام,
