التقرير,سجل التسليمات
تاريخ الإصدار,2026-09-08T14:49:22.786Z
عوامل التصفية,"from=2026-06-10, to=2026-09-08"

رقم الإذن,التاريخ,النوع,الاتجاه,الحالة,الفرع,من,إلى,عدد الماكينات,أنشأه,تاريخ التأكيد
TRF-2026-000239,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع المزامنة,— (WAREHOUSE),مشرف المزامنة (SUPERVISOR),1,مدير النظام,
TRF-2026-000260,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التقارير الآخر,— (WAREHOUSE),مشرف الفرع الآخر (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000259,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع التقارير,— (WAREHOUSE),مشرف التقارير (SUPERVISOR),1,مدير النظام,
TRF-2026-000258,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع التقارير,مشرف التقارير (SUPERVISOR),مندوب التقارير (REPRESENTATIVE),1,مشرف التقارير,2026-09-08
TRF-2026-000257,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التقارير,— (WAREHOUSE),مشرف التقارير (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000256,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع المزامنة,مشرف المزامنة (SUPERVISOR),مندوب المزامنة (REPRESENTATIVE),1,مشرف المزامنة,2026-09-08
TRF-2026-000255,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع المزامنة,— (WAREHOUSE),مشرف المزامنة (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000253,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع المزامنة,مشرف المزامنة (SUPERVISOR),مندوب المزامنة (REPRESENTATIVE),1,مشرف المزامنة,2026-09-08
TRF-2026-000252,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع المزامنة,— (WAREHOUSE),مشرف المزامنة (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000251,2026-09-08,REPRESENTATIVE_TO_MERCHANT,OUT,CONFIRMED,فرع المزامنة,مندوب المزامنة (REPRESENTATIVE),محل تاجر الصور (MERCHANT),1,مندوب المزامنة,2026-09-08
