التقرير,جرد الماكينات
تاريخ الإصدار,2026-09-10T08:43:06.781Z
عوامل التصفية,—

الرقم التسلسلي,الموديل,الحالة,الفرع,نوع الحائز,الحائز,نهاية الضمان,سعر الشراء,تكلفة الإصلاح,عدد الإصلاحات
CUSTODY_SN_298214_2818,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,فرع المستخدمين,REPRESENTATIVE,مستخدم اختبار,,0,0,0
CUSTODY_SN_718347_9234,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,فرع المستخدمين,MERCHANT,محل تاجر عهدة المستخدم,,0,0,0
CUSTODY_SN_999376_5880,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,فرع المستخدمين,REPRESENTATIVE,مستخدم اختبار,,0,0,0
SN-M_021172_1515_37,إنجينيكو موف 5000,REPLACED,—,FACTORY,—,2026-12-30,4200,0,0
SN-M_050441_1030_50,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,2026-12-30,4200,0,0
SN-M_060473_7525_23,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,2026-12-30,4200,800,1
SN-M_081543_1362_16,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,2026-12-30,4200,1200,1
SN-M_163082_2906_5,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,2026-12-30,4200,0,0
SN-M_169340_5071_7,إنجينيكو موف 5000,IN_TRANSIT,—,WAREHOUSE,مخزن الشركة الرئيسي,2026-12-30,4200,10,1
SN-M_190506_6398_12,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,2026-12-30,4200,80,1
SN-M_240683_1072_8,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,2026-12-30,4200,0,0
SN-M_245703_1269_24,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,2026-12-30,4200,0,0
SN-M_270047_7462_39,إنجينيكو موف 5000,REPLACED,—,FACTORY,—,2026-12-30,4200,0,0
SN-M_278765_0702_4,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,2025-06-29,4200,0,0
SN-M_301847_7255_2,إنجينيكو موف 5000,AT_FACTORY,—,FACTORY,—,2026-12-30,4200,0,0
SN-M_379434_0533_13,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,2026-12-30,4200,350,1
SN-M_400161_6683_14,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,2026-12-30,4200,0,1
