التقرير,جرد الماكينات
تاريخ الإصدار,2026-09-08T17:45:18.589Z
عوامل التصفية,—

الرقم التسلسلي,الموديل,الحالة,الفرع,نوع الحائز,الحائز,نهاية الضمان,سعر الشراء,تكلفة الإصلاح,عدد الإصلاحات
CUSTODY_SN_001874_9522,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,فرع المستخدمين,REPRESENTATIVE,مستخدم اختبار,,0,0,0
CUSTODY_SN_330642_5745,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,فرع المستخدمين,MERCHANT,محل تاجر عهدة المستخدم,,0,0,0
CUSTODY_SN_589375_8242,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,فرع المستخدمين,REPRESENTATIVE,مستخدم اختبار,,0,0,0
SN-C_950000_9721,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,,2000,700,1
SN-D_001133_2496_4,إنجينيكو موف 5000,DECOMMISSIONED,—,WAREHOUSE,مخزن التوالف,,4200,0,0
SN-D_099614_8172_25,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,,1000,500,1
SN-D_199139_7011_13,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,,4200,0,0
SN-D_330021_6861_11,إنجينيكو موف 5000,DECOMMISSIONED,—,WAREHOUSE,مخزن التوالف,,4200,500,1
SN-D_352289_8787_12,إنجينيكو موف 5000,DECOMMISSIONED,—,WAREHOUSE,مخزن التوالف,,4200,0,0
SN-D_380289_8575_3,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,,4200,0,0
SN-D_405097_7302_26,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,,4200,0,0
SN-D_526517_6661_14,إنجينيكو موف 5000,DECOMMISSIONED,—,WAREHOUSE,مخزن التوالف,,4200,0,0
SN-D_539734_8666_15,إنجينيكو موف 5000,DECOMMISSIONED,—,WAREHOUSE,مخزن التوالف,,4000,2500,1
SN-D_553945_3225_22,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,,100000,50,5
SN-D_634194_5626_17,إنجينيكو موف 5000,DECOMMISSIONED,—,WAREHOUSE,مخزن التوالف,,4200,250,1
SN-D_676362_5885_18,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,,4200,0,0
SN-D_676552_5129_24,إنجينيكو موف 5000,DECOMMISSIONED,—,WAREHOUSE,مخزن التوالف,,1000,900,1
SN-D_708066_8156_23,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,,1000,450,1
SN-D_744822_7194_7,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,,4200,0,0
SN-D_753144_5767_16,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,,4200,0,0
SN-D_796722_5571_5,إنجينيكو موف 5000,DECOMMISSIONED,—,WAREHOUSE,مخزن التوالف,,4200,0,0
SN-D_822363_5958_9,إنجينيكو موف 5000,DECOMMISSIONED,—,WAREHOUSE,مخزن التوالف,,4200,0,0
SN-D_856657_2388_19,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,,1000,800,1
SN-D_870446_7401_27,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,,1000,900,1
SN-D_880303_9798_2,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,,4200,0,0
SN-D_883331_6653_8,إنجينيكو موف 5000,REPLACED,—,FACTORY,—,,4200,0,0
SN-D_903247_3553_21,إنجينيكو موف 5000,REPLACED,—,FACTORY,—,,2000,900,1
SN-D_917887_7284_10,إنجينيكو موف 5000,DECOMMISSIONED,—,WAREHOUSE,مخزن التوالف,,4200,0,0
SN-D_939899_3901_6,إنجينيكو موف 5000,WITH_MERCHANT,فرع الإحلال,MERCHANT,محل تاجر T_477585_1062,,4200,0,0
SN-D_978842_9131_20,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,,10000,100,1
