التقرير,جرد الماكينات
تاريخ الإصدار,2026-09-08T14:36:35.830Z
عوامل التصفية,—

الرقم التسلسلي,الموديل,الحالة,الفرع,نوع الحائز,الحائز,نهاية الضمان,سعر الشراء,تكلفة الإصلاح,عدد الإصلاحات
SN-N_013228_0277_12,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_015680_4223_3,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_056957_2871_9,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,,0,500,1
SN-N_087652_9142_10,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,,0,0,0
SN-N_160096_1313_15,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_206642_9600_5,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_229995_6972_8,إنجينيكو موف 5000,WITH_REPRESENTATIVE,فرع الإشعارات,REPRESENTATIVE,مندوب الإشعارات,,0,0,0
SN-N_526264_1019_14,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_566900_8271_11,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_597747_9833_6,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_626100_5297_13,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_627373_8350_17,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_668200_0927_2,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_676265_8115_7,إنجينيكو موف 5000,IN_BRANCH_WAREHOUSE,فرع الإشعارات,SUPERVISOR,مشرف الإشعارات,,0,0,0
SN-N_795896_7060_1,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_847741_5118_18,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_904123_6604_4,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_933992_6431_19,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_948352_6921_16,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_954673_4134_21,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_989894_9215_20,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-R_079699_1541_4,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,2026-09-27,4200,0,0
SN-R_348548_8516_3,إنجينيكو موف 5000,IN_BRANCH_WAREHOUSE,فرع التقارير الآخر,SUPERVISOR,مشرف الفرع الآخر,2026-09-27,4200,0,0
SN-R_368227_3124_2,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,2026-09-27,4200,0,0
SN-R_711614_9270_1,إنجينيكو موف 5000,WITH_REPRESENTATIVE,فرع التقارير,REPRESENTATIVE,مندوب التقارير,2026-09-27,4200,0,0
