التقرير,جرد الماكينات
تاريخ الإصدار,2026-09-08T14:35:07.162Z
عوامل التصفية,—

الرقم التسلسلي,الموديل,الحالة,الفرع,نوع الحائز,الحائز,نهاية الضمان,سعر الشراء,تكلفة الإصلاح,عدد الإصلاحات
SN-N_054215_8484_4,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_059628_9951_3,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_106594_3040_6,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_110569_5999_13,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_164523_3312_9,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,,0,500,1
SN-N_168469_1016_20,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_275042_9492_19,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_297437_3097_14,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_316838_7031_8,إنجينيكو موف 5000,WITH_REPRESENTATIVE,فرع الإشعارات,REPRESENTATIVE,مندوب الإشعارات,,0,0,0
SN-N_363325_9383_5,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_387412_0001_11,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_425952_9829_18,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_433387_6118_1,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_435374_7809_21,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_441538_5764_2,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_476734_1373_16,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_540870_1817_12,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_580773_4010_7,إنجينيكو موف 5000,IN_BRANCH_WAREHOUSE,فرع الإشعارات,SUPERVISOR,مشرف الإشعارات,,0,0,0
SN-N_827912_8791_17,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_857306_8913_15,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-N_999218_9356_10,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,,0,0,0
SN-R_297180_8827_2,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,2026-09-27,4200,0,0
SN-R_511686_7313_1,إنجينيكو موف 5000,WITH_REPRESENTATIVE,فرع التقارير,REPRESENTATIVE,مندوب التقارير,2026-09-27,4200,0,0
SN-R_888282_8938_3,إنجينيكو موف 5000,IN_BRANCH_WAREHOUSE,فرع التقارير الآخر,SUPERVISOR,مشرف الفرع الآخر,2026-09-27,4200,0,0
SN-R_946836_2198_4,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,2026-09-27,4200,0,0
