التقرير,جرد الماكينات
تاريخ الإصدار,2026-09-08T17:34:44.879Z
عوامل التصفية,—

الرقم التسلسلي,الموديل,الحالة,الفرع,نوع الحائز,الحائز,نهاية الضمان,سعر الشراء,تكلفة الإصلاح,عدد الإصلاحات
CUSTODY_SN_020096_4540,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,فرع المستخدمين,REPRESENTATIVE,مستخدم اختبار,,0,0,0
CUSTODY_SN_346469_4946,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,فرع المستخدمين,MERCHANT,محل تاجر عهدة المستخدم,,0,0,0
CUSTODY_SN_495486_0134,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,فرع المستخدمين,REPRESENTATIVE,مستخدم اختبار,,0,0,0
SN-C_617779_1994,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,,2000,700,1
SN-D_000690_3056_16,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,,4200,0,0
SN-D_034100_2600_11,إنجينيكو موف 5000,DECOMMISSIONED,—,WAREHOUSE,مخزن التوالف,,4200,500,1
SN-D_039269_3938_24,إنجينيكو موف 5000,DECOMMISSIONED,—,WAREHOUSE,مخزن التوالف,,1000,900,1
SN-D_058629_0871_1,إنجينيكو موف 5000,DECOMMISSIONED,—,WAREHOUSE,مخزن التوالف,,4200,3400,2
SN-D_061751_3263_21,إنجينيكو موف 5000,REPLACED,—,FACTORY,—,,2000,900,1
SN-D_076391_1973_23,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,,1000,450,1
SN-D_080918_6178_18,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,,4200,0,0
SN-D_114917_4003_22,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,,100000,50,5
SN-D_303617_6936_5,إنجينيكو موف 5000,DECOMMISSIONED,—,WAREHOUSE,مخزن التوالف,,4200,0,0
SN-D_495577_8470_15,إنجينيكو موف 5000,DECOMMISSIONED,—,WAREHOUSE,مخزن التوالف,,4000,2500,1
SN-D_499579_5693_3,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,,4200,0,0
SN-D_527249_1597_7,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,,4200,0,0
SN-D_572582_5761_27,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,,1000,900,1
SN-D_580695_0365_2,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,,4200,0,0
SN-D_609988_2004_17,إنجينيكو موف 5000,DECOMMISSIONED,—,WAREHOUSE,مخزن التوالف,,4200,250,1
SN-D_633163_3504_10,إنجينيكو موف 5000,DECOMMISSIONED,—,WAREHOUSE,مخزن التوالف,,4200,0,0
SN-D_655516_1216_8,إنجينيكو موف 5000,REPLACED,—,FACTORY,—,,4200,0,0
SN-D_665691_9248_14,إنجينيكو موف 5000,DECOMMISSIONED,—,WAREHOUSE,مخزن التوالف,,4200,0,0
SN-D_712545_2430_12,إنجينيكو موف 5000,DECOMMISSIONED,—,WAREHOUSE,مخزن التوالف,,4200,0,0
SN-D_718075_9981_25,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,,1000,500,1
SN-D_807906_0526_4,إنجينيكو موف 5000,DECOMMISSIONED,—,WAREHOUSE,مخزن التوالف,,4200,0,0
SN-D_814671_1648_20,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,,10000,100,1
SN-D_873423_2243_6,إنجينيكو موف 5000,WITH_MERCHANT,فرع الإحلال,MERCHANT,محل تاجر T_885382_7012,,4200,0,0
SN-D_917178_6095_26,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,,4200,0,0
SN-D_931545_1191_9,إنجينيكو موف 5000,DECOMMISSIONED,—,WAREHOUSE,مخزن التوالف,,4200,0,0
SN-D_957326_5618_13,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,,4200,0,0
SN-D_993248_5420_19,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,,1000,800,1
SN-M_064375_9212_41,إنجينيكو موف 5000,REPLACED,—,FACTORY,—,2026-12-30,4200,600,1
SN-M_083718_4739_49,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,2026-12-30,4200,90,1
SN-M_107490_4893_13,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,2026-12-30,4200,350,1
SN-M_168309_9491_51,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,2026-12-30,4200,0,0
SN-M_206009_6049_19,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,2026-12-30,4200,0,0
SN-M_207357_0989_1,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,2026-12-30,4200,350,1
SN-M_217277_7669_17,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,2026-12-30,4200,275,1
SN-M_242547_2663_6,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,2026-12-30,4200,350,2
SN-M_315589_1071_4,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,2025-06-29,4200,0,0
SN-M_326880_9782_15,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,2026-12-30,4200,420,1
SN-M_345721_9780_27,إنجينيكو موف 5000,REPLACED,—,FACTORY,—,2026-12-30,3900,0,1
SN-M_420117_2494_37,إنجينيكو موف 5000,REPLACED,—,FACTORY,—,2026-12-30,4200,0,0
SN-M_434922_2632_35,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,2026-12-30,4200,0,0
SN-M_440266_3851_29,إنجينيكو موف 5000,REPLACED,—,FACTORY,—,2026-12-30,4200,0,1
SN-M_475905_2739_48,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,2026-12-30,4200,200,1
SN-M_481937_5798_11,إنجينيكو موف 5000,UNDER_MAINTENANCE,—,WAREHOUSE,ورشة الاختبار,2026-12-30,4200,0,0
