التقرير,جرد الماكينات
تاريخ الإصدار,2026-09-10T09:43:18.707Z
عوامل التصفية,—

الرقم التسلسلي,الموديل,الحالة,الفرع,نوع الحائز,الحائز,نهاية الضمان,سعر الشراء,تكلفة الإصلاح,عدد الإصلاحات
CUSTODY_SN_401670_3389,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,فرع المستخدمين,MERCHANT,محل تاجر عهدة المستخدم,,0,0,0
CUSTODY_SN_690094_6754,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,فرع المستخدمين,REPRESENTATIVE,مستخدم اختبار,,0,0,0
CUSTODY_SN_695211_4622,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,فرع المستخدمين,REPRESENTATIVE,مستخدم اختبار,,0,0,0
SN-R_148276_0911_4,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,2026-09-29,4200,0,0
SN-R_241809_6428_3,إنجينيكو موف 5000,IN_BRANCH_WAREHOUSE,فرع التقارير الآخر,SUPERVISOR,مشرف الفرع الآخر,2026-09-29,4200,0,0
SN-R_337799_9518_1,إنجينيكو موف 5000,WITH_REPRESENTATIVE,فرع التقارير,REPRESENTATIVE,مندوب التقارير,2026-09-29,4200,0,0
SN-R_780873_8288_2,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,2026-09-29,4200,0,0
SN-S_028930_0038_19,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-S_042256_8394_22,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,,0,0,0
SN-S_064320_1626_6,إنجينيكو موف 5000,WITH_MERCHANT,فرع المزامنة,MERCHANT,محل تاجر التسليم,,0,0,0
SN-S_096269_6174_26,إنجينيكو موف 5000,WITH_MERCHANT,فرع المزامنة,MERCHANT,محل تاجر الصور,,0,0,0
SN-S_147648_9942_10,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-S_182979_0935_15,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-S_184118_0945_1,إنجينيكو موف 5000,WITH_REPRESENTATIVE,فرع المزامنة,REPRESENTATIVE,مندوب المزامنة,,0,0,0
SN-S_198053_8268_3,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-S_304583_3850_8,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-S_315556_6455_7,إنجينيكو موف 5000,IN_BRANCH_WAREHOUSE,فرع المزامنة,SUPERVISOR,مشرف المزامنة,,0,0,0
SN-S_346855_5264_31,إنجينيكو موف 5000,WITH_REPRESENTATIVE,فرع المزامنة,REPRESENTATIVE,مندوب المزامنة,,0,0,0
SN-S_385337_3529_23,إنجينيكو موف 5000,IN_BRANCH_WAREHOUSE,فرع المزامنة,SUPERVISOR,مشرف المزامنة,,0,0,0
SN-S_389850_7201_25,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,,0,0,0
SN-S_391001_3904_12,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-S_396092_3538_24,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,,0,0,0
SN-S_415428_6431_13,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,,0,0,0
SN-S_458795_4322_21,إنجينيكو موف 5000,IN_BRANCH_WAREHOUSE,فرع المزامنة,SUPERVISOR,مشرف المزامنة,,0,0,0
SN-S_489780_0772_17,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-S_535458_0846_4,إنجينيكو موف 5000,WITH_REPRESENTATIVE,فرع المزامنة,REPRESENTATIVE,مندوب المزامنة,,0,0,0
SN-S_554741_7089_5,إنجينيكو موف 5000,WITH_REPRESENTATIVE,فرع المزامنة,REPRESENTATIVE,مندوب المزامنة,,0,0,0
SN-S_558555_3644_28,إنجينيكو موف 5000,WITH_MERCHANT,فرع المزامنة,MERCHANT,محل تاجر اليوم نفسه,,0,0,0
SN-S_621563_2623_29,إنجينيكو موف 5000,WITH_MERCHANT,فرع المزامنة,MERCHANT,محل تاجر أمس,,0,0,0
SN-S_641391_3191_2,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-S_646512_7584_18,إنجينيكو موف 5000,WITH_REPRESENTATIVE,فرع المزامنة,REPRESENTATIVE,مندوب المزامنة,,0,0,0
SN-S_679974_6970_20,إنجينيكو موف 5000,WITH_MERCHANT,فرع المزامنة,MERCHANT,محل تاجر الطابور,,0,0,0
SN-S_801970_5755_30,إنجينيكو موف 5000,WITH_REPRESENTATIVE,فرع المزامنة,REPRESENTATIVE,مندوب المزامنة,,0,0,0
SN-S_814738_2065_16,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,,0,0,0
SN-S_828640_5545_11,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-S_853952_1789_9,إنجينيكو موف 5000,IN_BRANCH_WAREHOUSE,فرع المزامنة,SUPERVISOR,مشرف المزامنة,,0,0,0
SN-S_900649_9964_27,إنجينيكو موف 5000,WITH_REPRESENTATIVE,فرع المزامنة,REPRESENTATIVE,مندوب المزامنة,,0,0,0
SN-S_931561_4714_14,إنجينيكو موف 5000,IN_TRANSIT,—,—,—,,0,0,0
SN-T_070327_5636_1,إنجينيكو موف 5000,WITH_REPRESENTATIVE,فرع الحمل,REPRESENTATIVE,مستخدم اختبار,,0,0,0
