التقرير,سجل التسليمات
تاريخ الإصدار,2026-09-08T16:06:17.677Z
عوامل التصفية,"from=2026-06-10, to=2026-09-08"

رقم الإذن,التاريخ,النوع,الاتجاه,الحالة,الفرع,من,إلى,عدد الماكينات,أنشأه,تاريخ التأكيد
TRF-2026-000206,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع المزامنة,— (WAREHOUSE),مشرف المزامنة (SUPERVISOR),1,مدير النظام,
TRF-2026-000260,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التقارير الآخر,— (WAREHOUSE),مشرف الفرع الآخر (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000259,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع التقارير,— (WAREHOUSE),مشرف التقارير (SUPERVISOR),1,مدير النظام,
TRF-2026-000258,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع التقارير,مشرف التقارير (SUPERVISOR),مندوب التقارير (REPRESENTATIVE),1,مشرف التقارير,2026-09-08
TRF-2026-000257,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التقارير,— (WAREHOUSE),مشرف التقارير (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000256,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000255,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000254,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,PENDING,فرع التسليمات,مشرف التسليمات (SUPERVISOR),مندوب التسليمات (REPRESENTATIVE),1,مشرف التسليمات,
TRF-2026-000253,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000252,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000251,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,
TRF-2026-000250,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,
TRF-2026-000249,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,
TRF-2026-000248,2026-09-08,COMPANY_TO_BRANCH,OUT,CANCELLED,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,
TRF-2026-000247,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,
TRF-2026-000246,2026-09-08,COMPANY_TO_BRANCH,OUT,REJECTED,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,
TRF-2026-000245,2026-09-08,COMPANY_TO_BRANCH,OUT,REJECTED,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,
TRF-2026-000244,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000243,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000242,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000241,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,
TRF-2026-000240,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع التسليمات,مشرف التسليمات (SUPERVISOR),مندوب التسليمات (REPRESENTATIVE),1,مشرف التسليمات,2026-09-08
TRF-2026-000239,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000238,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,
TRF-2026-000237,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,
TRF-2026-000236,2026-09-08,COMPANY_TO_SCRAP,OUT,CONFIRMED,—,— (WAREHOUSE),مخزن التوالف (WAREHOUSE),1,مدير النظام,2026-09-08
TRF-2026-000235,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000234,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,
TRF-2026-000233,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,
TRF-2026-000232,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000231,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000230,2026-09-08,COMPANY_TO_BRANCH,OUT,PENDING,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,
TRF-2026-000229,2026-09-08,BRANCH_TO_COMPANY,RETURN,CONFIRMED,فرع التسليمات,مشرف التسليمات (SUPERVISOR),مخزن الشركة الرئيسي (WAREHOUSE),1,مشرف التسليمات,2026-09-08
TRF-2026-000228,2026-09-08,REPRESENTATIVE_TO_BRANCH,RETURN,CONFIRMED,فرع التسليمات,مندوب التسليمات (REPRESENTATIVE),مشرف التسليمات (SUPERVISOR),1,مندوب التسليمات,2026-09-08
TRF-2026-000227,2026-09-08,MERCHANT_TO_REPRESENTATIVE,RETURN,CONFIRMED,فرع التسليمات,محل تاجر الاختبار (MERCHANT),مندوب التسليمات (REPRESENTATIVE),1,مندوب التسليمات,2026-09-08
TRF-2026-000226,2026-09-08,REPRESENTATIVE_TO_MERCHANT,OUT,CONFIRMED,فرع التسليمات,مندوب التسليمات (REPRESENTATIVE),محل تاجر الاختبار (MERCHANT),1,مندوب التسليمات,2026-09-08
TRF-2026-000225,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع التسليمات,مشرف التسليمات (SUPERVISOR),مندوب التسليمات (REPRESENTATIVE),1,مشرف التسليمات,2026-09-08
TRF-2026-000224,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع التسليمات,— (WAREHOUSE),مشرف التسليمات (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000223,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع المزامنة,مشرف المزامنة (SUPERVISOR),مندوب المزامنة (REPRESENTATIVE),1,مشرف المزامنة,2026-09-08
TRF-2026-000222,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع المزامنة,— (WAREHOUSE),مشرف المزامنة (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000220,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع المزامنة,مشرف المزامنة (SUPERVISOR),مندوب المزامنة (REPRESENTATIVE),1,مشرف المزامنة,2026-09-08
TRF-2026-000219,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع المزامنة,— (WAREHOUSE),مشرف المزامنة (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000218,2026-09-08,REPRESENTATIVE_TO_MERCHANT,OUT,CONFIRMED,فرع المزامنة,مندوب المزامنة (REPRESENTATIVE),محل تاجر الصور (MERCHANT),1,مندوب المزامنة,2026-09-08
TRF-2026-000217,2026-09-08,BRANCH_TO_REPRESENTATIVE,OUT,CONFIRMED,فرع المزامنة,مشرف المزامنة (SUPERVISOR),مندوب المزامنة (REPRESENTATIVE),1,مشرف المزامنة,2026-09-08
TRF-2026-000216,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع المزامنة,— (WAREHOUSE),مشرف المزامنة (SUPERVISOR),1,مدير النظام,2026-09-08
TRF-2026-000215,2026-09-08,COMPANY_TO_BRANCH,OUT,CONFIRMED,فرع المزامنة,— (WAREHOUSE),مشرف المزامنة (SUPERVISOR),1,مدير النظام,2026-09-08
