التقرير,جرد الماكينات
تاريخ الإصدار,2026-09-08T17:18:40.029Z
عوامل التصفية,—

الرقم التسلسلي,الموديل,الحالة,الفرع,نوع الحائز,الحائز,نهاية الضمان,سعر الشراء,تكلفة الإصلاح,عدد الإصلاحات
CUSTODY_SN_474132_7264,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,فرع المستخدمين,REPRESENTATIVE,مستخدم اختبار,,0,0,0
CUSTODY_SN_591202_7211,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,فرع المستخدمين,MERCHANT,محل تاجر عهدة المستخدم,,0,0,0
CUSTODY_SN_979754_4459,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,فرع المستخدمين,REPRESENTATIVE,مستخدم اختبار,,0,0,0
SN-C_325696_6996,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,,2000,700,1
SN-D_010888_4173_3,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,,4200,0,0
SN-D_017859_8996_25,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,,1000,500,1
SN-D_037797_4018_26,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,,4200,0,0
SN-D_093991_4121_18,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,,4200,0,0
SN-D_094025_3865_6,إنجينيكو موف 5000,WITH_MERCHANT,فرع الإحلال,MERCHANT,محل تاجر T_607093_1151,,4200,0,0
SN-D_125469_8286_4,إنجينيكو موف 5000,DECOMMISSIONED,—,WAREHOUSE,مخزن التوالف,,4200,0,0
SN-D_159420_1152_13,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,—,—,,4200,0,0
SN-D_162010_3401_20,إنجينيكو موف 5000,IN_COMPANY_WAREHOUSE,—,WAREHOUSE,مخزن الشركة الرئيسي,,10000,100,1
SN-D_182745_7799_21,إنجينيكو موف 5000,REPLACED,—,FACTORY,—,,2000,900,1
SN-D_210490_7327_15,إنجينيكو موف 5000,DECOMMISSIONED,—,WAREHOUSE,مخزن التوالف,,4000,2500,1
